DATEPRD,ON_STREAM_HRS,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_CHOKE_SIZE_P,AVG_WHP_P,AVG_WHT_P,DP_CHOKE_SIZE,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL,F_4_ON_STREAM_HRS,F_4_BORE_WI_VOL,F_5_ON_STREAM_HRS,F_5_BORE_WI_VOL
2010-01-01,24.0,3378.6436730577225,223.07916425,50.15082541666666,749.5686212286984,190.264943375,271.3909531427155,18593.749401402,14621658.123365097,15304.241355708,24.0,44109.28773183507,24.0,49054.22106552211
2010-01-02,24.0,3377.769461113547,223.09569575,50.69465375,744.6647804853758,190.708396625,266.36867699983776,18701.242264556,14692656.84822198,16519.118273098,24.0,41936.96954068832,24.0,51515.296516497845
2010-01-03,24.0,3408.561096777348,223.074952625,47.66567645833333,774.8274176956664,192.26834075,299.39815733401224,17799.912405576,14009037.648707408,14796.15045544,24.0,41114.57291815952,24.0,51717.28642745919
2010-01-04,24.0,3439.266918446166,223.022721125,44.706229791666665,806.1605426894321,191.99492525,333.2469800231051,17002.61601392,13410151.047937704,13428.619834788,24.0,40267.29269893876,24.0,51948.64024320476
2010-01-05,24.0,3429.064568123086,223.035833,45.74376145833333,792.7356955575553,191.503602875,318.4706138377732,17270.939334116,13617683.690419875,9839.905498852,24.0,40524.2385026055,24.0,52129.74409901608
2010-01-06,24.0,3426.4563393725343,223.052301125,46.05398104166667,787.7788918669065,191.155237625,313.48321927088443,17331.761802618003,13648343.177774137,10054.073549782,24.0,40733.21519545868,24.0,52212.10821617884
2010-01-07,24.0,3432.314221641079,223.0528854468085,44.74010166666667,791.3888140471987,190.5478941276596,317.7807945545937,17138.601719092003,13509712.27523893,12837.943721342,24.0,39969.85757874002,24.0,51109.97150981702
2010-01-08,24.0,3432.1231267064904,223.06120489361703,44.805229375,788.8421889829364,190.68369034042556,315.70245005769345,17127.657448648,13497322.830713028,10488.510767924,24.0,41079.03567827422,24.0,50933.11195005898
2010-01-09,22.83333,3492.820008772701,222.99836793905752,39.72879458333333,841.2102098497611,186.40256921814031,369.184765734273,14477.823140974,11927578.125716183,10120.61974593,17.16667,26561.8701638,17.5,36311.0765938
2010-01-10,24.0,3427.1740996359053,223.0455674893617,44.94371,784.5028851333566,190.10341925,311.20755157433297,17149.48309143,13502954.460615106,11071.387516226,24.0,43049.64496754157,24.0,48695.94486684426
2010-01-11,24.0,3427.9230909088305,223.068463625,45.877578541666665,782.7349416470564,191.172251,309.30769157216787,17073.250586957998,13435815.62883088,12568.488235238,24.0,43610.32722284345,24.0,50153.5024245668
